,ID,Recency,Frequency,Monetary,RFM,Segment,BMI,Income,Ethnicity,Lifestage,Strata,Members,Loc
284,139051101,512.5919945903332,53,60.922641509433966,123.0,Churned,Over Weight,2000 - 2999,Malay,Teens Aches,Urban,5,North
285,140009101,82.88579638629777,148,19.09121621621622,441.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Matured Families,Urban,4,North
286,140011101,104.21620456228013,113,100.93805309734506,334.0,Loyalists,Over Weight,>5000,Others,Nesting Families,Urban,4,North
287,140013101,1121.6326211019186,6,9.233333333333334,111.0,Lost,Under Weight,1500 - 1999,Chinese,Teens Aches,Urban,1-3,North
288,140021101,109.0045168287893,93,57.25161290322582,233.0,Potential Loyalists,Under Weight,2000 - 2999,Malay,Teens and Toddlers,Urban,5,North
289,140023101,94.82775807701344,120,90.53250000000001,334.0,Loyalists,Over Weight,>5000,Malay,Nesting Families,Urban,1-3,North
290,141001111,116.32750294851222,66,135.8651515151515,224.0,At-Risk,Obese,< 1500,Malay,Teens and Toddlers,Urban,7+,North
291,141014101,92.24360455365657,121,59.03553719008264,333.0,Loyalists,Healthy,< 1500,Malay,Teens Aches,Urban,4,North
292,141019101,91.50832535950651,115,71.11999999999998,334.0,Loyalists,Obese,4000 - 4999,Others,Teens and Toddlers,Urban,7+,North
293,142001103,1044.6301061835911,18,25.666666666666664,111.0,Lost,Healthy,< 1500,Malay,Empty Nesters,Urban,1-3,North
294,142002101,82.88579638629777,155,45.525806451612915,442.0,Low-Spending Loyalists,Healthy,4000 - 4999,Malay,Teens Aches,Urban,5,North
295,142003112,106.30067709390839,126,32.31825396825398,342.0,Low-Spending Loyalists,Healthy,2000 - 2999,Malay,Nesting Families,Urban,7+,North
296,142014105,941.8778381167663,25,137.73600000000002,114.0,Churned,Under Weight,< 1500,Others,Nesting Families,Urban,7+,North
297,142021102,537.8151143058298,43,95.47441860465115,124.0,At-Risk,Over Weight,>5000,Chinese,Teens and Toddlers,Urban,7+,North
298,142031101,94.82775807701344,147,36.56394557823131,342.0,Low-Spending Loyalists,Healthy,2000 - 2999,Chinese,Empty Nesters,Urban,1-3,North
299,142042101,138.13198882213572,68,46.504411764705885,223.0,At-Risk,Healthy,< 1500,Malay,Teens Aches,Urban,5,North
300,142044101,107.87691739490313,3,12.633333333333333,211.0,Lost,Healthy,< 1500,Malay,Nesting Families,Urban,1-3,North
301,142045101,890.4065171479982,31,30.183870967741935,121.0,Lost,Over Weight,< 1500,Malay,Nesting Families,Urban,1-3,North
302,142048101,106.30067709390839,136,14.436029411764707,341.0,Low-Spending Loyalists,Under Weight,2000 - 2999,Others,Teens Aches,Urban,7+,North
303,142049101,80.7978498267804,156,66.09551282051284,444.0,Best customers,Under Weight,1500 - 1999,Malay,Teens and Toddlers,Urban,7+,North
304,142051101,82.88579638629777,102,53.84313725490199,433.0,Best customers,Under Weight,3000 - 3999,Chinese,Nesting Families,Urban,1-3,North
305,142052101,469.90723988009336,61,26.872131147540983,121.0,Lost,Under Weight,>5000,Malay,Teens Aches,Urban,1-3,North
306,142054101,85.20779609353276,144,35.34930555555556,442.0,Low-Spending Loyalists,Obese,1500 - 1999,Malay,Teens and Toddlers,Urban,7+,North
307,152008101,95.66725075555168,117,42.83333333333334,332.0,Low-Spending Loyalists,Healthy,3000 - 3999,Chinese,Matured Families,Rural,4,North
308,152009102,100.5379673878113,118,63.20932203389832,333.0,Loyalists,Healthy,>5000,Malay,Teens and Toddlers,Urban,5,North
309,152010101,773.9788969267839,25,17.840000000000007,111.0,Lost,Healthy,1500 - 1999,Malay,Empty Nesters,Urban,1-3,North
